NOMOR PRODUK,CODE,JENIS,NAMA,SATUAN,HARGA,VENDOR,STATUS,NOTE
1752,MAT-CSV-01752,,PALU 3 LB,PCS,125000,MUTIARA INDAH,ACTIVE,INSERTED
1753,MAT-CSV-01753,,PACUL + GAGANG,SET,75000,MUTIARA INDAH,ACTIVE,INSERTED
1754,MAT-CSV-01754,,BLENCONG,PCS,79000,MUTIARA INDAH,ACTIVE,INSERTED
1755,MAT-CSV-01755,,TRIPLEK 8mm,LEMBAR,110000,MUTIARA INDAH,ACTIVE,INSERTED
1756,MAT-CSV-01756,,"METERAN 7,5m",PCS,54000,MUTIARA INDAH,ACTIVE,INSERTED
1757,MAT-CSV-01757,,"SELANG AIR ELASTIS DOP 1/2"" (50m)",ROLL,425000,MUTIARA INDAH,ACTIVE,INSERTED
1758,MAT-CSV-01758,,GENTONG AIR PVC CAP 200 L,PCS,385000,MUTIARA INDAH,ACTIVE,INSERTED
1759,MAT-CSV-01759,,PENGKI TUKANG,PCS,12000,MUTIARA INDAH,ACTIVE,INSERTED
1760,MAT-CSV-01760,,EMBER COR TUKANG,PCS,9000,MUTIARA INDAH,ACTIVE,INSERTED
1761,MAT-CSV-01761,,KAWAT BENDRAT,KG,20000,MUTIARA INDAH,ACTIVE,INSERTED
1762,MAT-CSV-01762,,SEMEN JAKARTA,SAK,42000,MUTIARA INDAH,ACTIVE,INSERTED
1763,MAT-CSV-01763,,HEBEL 10CM,KUBIK,540000,MUTIARA INDAH,ACTIVE,INSERTED
1764,MAT-CSV-01764,,PEREKAT HEBEL APLUS,SAK,72000,MUTIARA INDAH,ACTIVE,INSERTED
1765,MAT-CSV-01765,,PASIR LINGKAR,DUMP,1000000,MATERIAL ALAM,ACTIVE,INSERTED
1766,MAT-CSV-01766,,ABU BATU,DUMP,1100000,MATERIAL ALAM,ACTIVE,INSERTED
1767,MAT-CSV-01767,,BATU BELAH,DUMP,1100000,MATERIAL ALAM,ACTIVE,INSERTED
1768,MAT-CSV-01768,,BESI 10 POLOS,BATANG,78000,SEMESTA GEMILANG CILEGON,ACTIVE,INSERTED
1769,MAT-CSV-01769,,BESI 6 POLOS,BATANG,28000,SEMESTA GEMILANG CILEGON,ACTIVE,INSERTED
1770,MAT-CSV-01770,,"HOLO 40x40x0,35",BATANG,31000,MEGA BAJA CILEGON,ACTIVE,INSERTED
1771,MAT-CSV-01771,,SKROP,DUMP,750000,PUTRA TERATE MANDIRI,ACTIVE,INSERTED
1772,MAT-CSV-01772,,EXA (2 HARI INCLUDE MOB DEMOB),LOT,7000000,PUTRA TERATE MANDIRI,ACTIVE,INSERTED
1773,MAT-CSV-01773,,SEIV PRIMER GREY 6600,PAIL,995000,DUNIA BARU,ACTIVE,INSERTED
1774,MAT-CSV-01774,,SEIV FINISH BLUE PEACOK 480,PAIL,1280000,DUNIA BARU,ACTIVE,INSERTED
1775,MAT-CSV-01775,,THINNER KW 1,JRG,380000,DUNIA BARU,ACTIVE,INSERTED
1776,MAT-CSV-01776,,"MATA ROLL KECIL 4""",BOX,60000,MUTIARA INDAH,ACTIVE,INSERTED
1777,MAT-CSV-01777,,TANGKAI ROLL KECIL,BTG,15000,MUTIARA INDAH,ACTIVE,INSERTED
1778,MAT-CSV-01778,,"KUAS 2"" 3""",PCS,14000,MUTIARA INDAH,ACTIVE,INSERTED
1779,MAT-CSV-01779,,TERPAL 5x5,M2,14000,MUTIARA INDAH,ACTIVE,INSERTED
1780,MAT-CSV-01780,,BASE COURSE A,DUMP,1100000,PUTRA TERATE MANDIRI,ACTIVE,INSERTED
1781,MAT-CSV-01781,,"SKRUP GYPSUM  6X11/4""",BOX,50000,MITRA KUSUMA JAYA,ACTIVE,INSERTED
1782,MAT-CSV-01782,,PAKU BETON 3,BOX,50000,MITRA KUSUMA JAYA,ACTIVE,INSERTED
1783,MAT-CSV-01783,,CUTTER L -  500,PCS,25000,MITRA KUSUMA JAYA,ACTIVE,INSERTED
1784,MAT-CSV-01784,,TANG RIVET,PCS,45000,MITRA KUSUMA JAYA,ACTIVE,INSERTED
1785,MAT-CSV-01785,,"KAPE 9""",PCS,20000,MITRA KUSUMA JAYA,ACTIVE,INSERTED
1786,MAT-CSV-01786,,"KAPE 7""",PCS,16000,MITRA KUSUMA JAYA,ACTIVE,INSERTED
1787,MAT-CSV-01787,,AMPLAS ROLL GRIT 180,M,16000,MITRA KUSUMA JAYA,ACTIVE,INSERTED
1788,MAT-CSV-01788,,MATA BOR BOSCH,PCS,15000,MITRA KUSUMA JAYA,ACTIVE,INSERTED
1789,MAT-CSV-01789,,NPN 2035T,PAIL,544000,DUNIA BARU,ACTIVE,INSERTED
1790,MAT-CSV-01790,,NPYO 1113A,PAIL,1115000,DUNIA BARU,ACTIVE,INSERTED
1791,MAT-CSV-01791,,NPOW 1001P,PAIL,573000,DUNIA BARU,ACTIVE,INSERTED
1792,MAT-CSV-01792,,ISI ROLL,BOX,60000,DUNIA BARU,ACTIVE,INSERTED
1793,MAT-CSV-01793,,"SKRUP GYPSUM 2,5cm",BOX,85000,TOKO BERKAT II,ACTIVE,INSERTED
1794,MAT-CSV-01794,,SKRUP GYPSUM 4cm,BOX,125000,TOKO BERKAT II,ACTIVE,INSERTED
1795,MAT-CSV-01795,,SEMEN JAKARTA,SAK,43000,TOKO BERKAT II,ACTIVE,INSERTED
1796,MAT-CSV-01796,,SENDOK SEMEN,PCS,15000,TOKO BERKAT II,ACTIVE,INSERTED
1797,MAT-CSV-01797,,TALI AIR GYPSUM (3M),BTG,25000,TOKO BERKAT II,ACTIVE,INSERTED
1798,MAT-CSV-01798,,ROMPI PROYEK (MERAH),PCS,55000,TOKO BERKAT II,ACTIVE,INSERTED
1799,MAT-CSV-01799,,U-DITCH 30x30x100,PCS,160000,CILEGON CONBLOCK,ACTIVE,INSERTED
1800,MAT-CSV-01800,,PAVING BLOCK 10.5 x 21 x 8,m2,90000,HOLLYWOOD CONBLOCK,ACTIVE,INSERTED
1801,MAT-CSV-01801,,PLAT BORDES 4MM,LEMBAR,2330000,SEMESTA GEMILANG CILEGON,ACTIVE,INSERTED
1802,MAT-CSV-01802,,HOLO 4x4,BATANG,31000,SEMESTA GEMILANG CILEGON,ACTIVE,INSERTED
1803,MAT-CSV-01803,,HOLO 4X2,BATANG,24500,SEMESTA GEMILANG CILEGON,ACTIVE,INSERTED
1804,MAT-CSV-01804,,COMPUND A PLUS,SAK,58000,SEMESTA GEMILANG CILEGON,ACTIVE,INSERTED
1805,MAT-CSV-01805,,"SKRUP GYPSUM 2,5",BOX,100000,SEMESTA GEMILANG CILEGON,ACTIVE,INSERTED
1806,MAT-CSV-01806,,PLAT HITAM CS 4'x8'x10mm,LEMBAR,3266200,SEMESTA GEMILANG CILEGON,ACTIVE,INSERTED
1807,MAT-CSV-01807,,BESI 12 POLOS,BATANG,114000,SEMESTA GEMILANG CILEGON,ACTIVE,INSERTED
1808,MAT-CSV-01808,,SIKU 50x50x5mm,BATANG,320000,SEMESTA GEMILANG CILEGON,ACTIVE,INSERTED
1809,MAT-CSV-01809,,CANAL BAJA RINGAN STIKER BIRU,BATANG,96000,SEMESTA GEMILANG CILEGON,ACTIVE,INSERTED
1810,MAT-CSV-01810,,PASIR LINGKAR,DUMP,1100000,PUTRA TERATE MANDIRI,ACTIVE,INSERTED
1811,MAT-CSV-01811,,ROCKWOOL 1m x 16m x 13mm (3 Roll),LOT,1586780,WOOLSTORE 07,ACTIVE,INSERTED
1812,MAT-CSV-01812,,PASIR CUCI,DUMP,1200000,PUTRA TERATE MANDIRI,ACTIVE,INSERTED
1813,MAT-CSV-01813,,SEMEN JAKARTA,SAK,43000,TOKO BERKAT II,ACTIVE,INSERTED
1814,MAT-CSV-01814,,NUT KRAMIK GREY,BKS,20000,TOKO BERKAT II,ACTIVE,INSERTED
1815,MAT-CSV-01815,,PAVING BLOCK TP 8,M2,106300,HOLYWOOD CONCRETE BLOCKS,ACTIVE,INSERTED
1816,MAT-CSV-01816,,CANSTEEN MELON STONE,PCS,53200,HOLYWOOD CONCRETE BLOCKS,ACTIVE,INSERTED
1817,MAT-CSV-01817,,60560,BATANG,229000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1818,MAT-CSV-01818,,60559,BATANG,254000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1819,MAT-CSV-01819,,60558,BATANG,238000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1820,MAT-CSV-01820,,554,BATANG,89000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1821,MAT-CSV-01821,,85748,BATANG,304000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1822,MAT-CSV-01822,,85701,BATANG,275000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1823,MAT-CSV-01823,,Y.GAG,SET,105000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1824,MAT-CSV-01824,,H. SLS,SET,62000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1825,MAT-CSV-01825,,MORRISE,SET,250000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1826,MAT-CSV-01826,,00/01/1900,SET,23000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1827,MAT-CSV-01827,,K. 0786,ROLL,55000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1828,MAT-CSV-01828,,K. 606,ROLL,46000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1829,MAT-CSV-01829,,SKRUP,PCS,145,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1830,MAT-CSV-01830,,SKRUP,PCS,95,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1831,MAT-CSV-01831,,5564,BATANG,48000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1832,MAT-CSV-01832,,FISCHER,SET,48000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1833,MAT-CSV-01833,,TEROT,BATANG,9000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
1834,MAT-CSV-01834,,FISCHER,DUS,8000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
