code,jenis,name,satuan,harga,vendor
MT-2026-1250,,TERPUS GENTENG M-CLASS COKLAT TENGAH,PCS,25000,
MT-2026-1251,,ONGKIR,LOT,300000,
MT-2026-1252,,ARGON,TABUNG,250000,IWAN ARGON
MT-2026-1253,,CNP 150 x 3.2 x 6mtr,BATANG,555000,PT KARYA BENTENG BARU SEMESTA
MT-2026-1254,,PLAT BORDES 4'x8'x4mm,LEMBAR,1598400,
MT-2026-1255,,PLAT POLOS 4'x8'x8mm,LEMBAR,1420800,
MT-2026-1256,,WF 400 x 200 x 12mtr,BATANG,15207000,
MT-2026-1257,,WF 200 x 100 x 12mtr,BATANG,3918300,
MT-2026-1258,,WF 300 x 150 x 6mtr,BATANG,4040400,
MT-2026-1259,,SIKU 60 x 60 x 6mtr,BATANG,421800,
MT-2026-1260,,GRANIT KW1 KIA SUPER WHITE 60x60,BOX,168000,BELANJA KERAMIK
MT-2026-1261,,KRAMIK DINDING 25x40 WHITE,DUS,65900,
MT-2026-1262,,KRAMIK LANTAI KASAR 40x40,DUS,66000,
MT-2026-1263,,SEMEN TR-30,SAK,117000,MUTIARA INDAH
MT-2026-1264,,MARKER WHITE BLACK,DUS,270000,
MT-2026-1265,,SKRUP GIPSUM 6x11/2,DUS,40000,
MT-2026-1266,,LAKBAN HITAM,PCS,7500,
MT-2026-1267,,"LAKBAN KERTAS 2""",PCS,8000,
MT-2026-1268,,SAFETY GLASS,PCS,25000,
MT-2026-1269,,S TANGAN 5B,LSN,25000,
MT-2026-1270,,SUPER SILICON WHITE,PCS,22000,
MT-2026-1271,,S TANGAN GOSAVE,LSN,220000,
MT-2026-1272,,AMPLAS METERAN GRIT 180 (50M),ROLL,178500,L10 GLODOK
MT-2026-1273,,"TATAKAN AMPLAS VELCRO 4""",PCS,3500,
MT-2026-1274,,"AMPLAS BULAT VELCRO 4"" GRIT 240 (100)",DUS,34500,
